asin,price,rating,number_of_reviews,bullet_points,seller_rank
B00ICLHKG6,       ,4.2 out of 5 stars,"2,218 ratings", ,"#122,852 in Toys & Games ("
B0051YUVYU,    Currently unavailable.   ,4.7 out of 5 stars,5 ratings, ,"
        "
B07ST2GLR8,       ,4.8 out of 5 stars,17 ratings, ,"#586,121 in Toys & Games ("
B08BFZ6JDT,       ,,, ,
B0B5LX5WVK,    Currently unavailable.   ,,, ,"#721,559 in Toys & Games ("
B07JRBX2T5,       ,,, ,"#628,368 in Toys & Games ("
B08KMHP6MG,    Currently unavailable.   ,5.0 out of 5 stars,2 ratings, ,"#798,698 in Toys & Games ("
B0051YV860,       ,3.4 out of 5 stars,5 ratings, ,"
        "
B08KYJ8X17,    Currently unavailable.   ,5.0 out of 5 stars,2 ratings, ,"#576,395 in Toys & Games ("
B08L5FL4T6,    Currently unavailable.   ,,, ,"#746,797 in Toys & Games ("
B09RVW81KD,       ,,, ,"#962,743 in Toys & Games ("
B000NX3MKE,       ,4.1 out of 5 stars,20 ratings, ,"#862,615 in Toys & Games ("
B077H31STN,    Currently unavailable.   ,,, ,"#908,604 in Toys & Games ("
B09TF614QH,    Currently unavailable.   ,5.0 out of 5 stars,1 rating, ,"#1,034,999 in Toys & Games ("
B0012PXPMW,16,4.4 out of 5 stars,484 ratings, ,"#168,107 in Toys & Games ("
B08JZ1X5F5,    Currently unavailable.   ,4.7 out of 5 stars,42 ratings, ,"#322,149 in Toys & Games ("
B0719G3Y22,       ,,, ,"#983,124 in Toys & Games ("
B08NQ1NQP4,       ,,, ,"#1,017,513 in Toys & Games ("
B07HN7WD9T,21,4.6 out of 5 stars,81 ratings, ,"#548,160 in Toys & Games ("
B09ZNZXXFP,    Currently unavailable.   ,,, ,"#1,026,057 in Toys & Games ("
B00HYMN7PC,    Currently unavailable.   ,4.0 out of 5 stars,197 ratings, ,"
        "
B08L5F9Y5F,    Currently unavailable.   ,5.0 out of 5 stars,1 rating, ,"#256,972 in Toys & Games ("
B08725C389,    Currently unavailable.   ,4.6 out of 5 stars,6 ratings, ,"#602,205 in Toys & Games ("
B09MLVQB6J,    Currently unavailable.   ,,, ,"#976,154 in Toys & Games ("
B0B4RB4PX9,    Currently unavailable.   ,,, ,"#915,940 in Toys & Games ("
B08FH8VQ9W,    Currently unavailable.   ,,, ,"#463,495 in Toys & Games ("
