asin,title,price,rating,number_of_reviews,bullet_points,seller_rank
B084N1672R,"        Belkin Braided USB Type C to Lightning Cable 3.3FT/1M, MFi Certified iPhone Fast Charger Compatible with iPhone 14, 14 Plus, 14 Pro, 14 Pro Max, 13, 13 Mini, SE, 12, iPad, AirPods, AirPods Pro - Black       ",    Temporarily out of stock.   ,4.6 out of 5 stars,"3,377 ratings",,"
        "
B08FCR92CP,"        Bakugan Geogan Deka, Stardox, Jumbo Collectible Transforming Figure, Kids Toys for Boys       ",7,4.8 out of 5 stars,"2,054 ratings", ,"#3,584 in Toys & Games ("
B07R8JVQMK,"        UltraPro GE 4 Port USB Charging Station, 6 Ft Braided Cord, 24 Watt/4.8 AMP, For iPhone 13/12/11/Pro/Pro Max/Mini, iPad Pro, Samsung Galaxy S21, Google Pixel 6, UL Listed, White, 44139-T1       ",    Temporarily out of stock.   ,4.6 out of 5 stars,"1,229 ratings", ,"
        "
B09PDS245K,"        65W USB C Charger Set, AOHI Magcube 65W PD Fast Charger with USB C to Lightning Cable for iPhone 13(3ft MFi-Certified), iPhone 13/13 Pro/12/Pro/Mini       ",    Currently unavailable.   ,5.0 out of 5 stars,3 ratings, ,"
        "
B07TB4PWCZ,"        iHome Multiport USB-C Charger : AC Pro 2-Port Flat USB C Charger Block, Double USB C Wall Charger, Power Delivery & Fast Charging Compatible USB-C Wall Charger       ",    Currently unavailable.   ,4.5 out of 5 stars,332 ratings,,"
        "
B08S7LY3MV,"        Bakugan Geogan Brawler 5-Pack, Exclusive Hyenix and Insectra Geogan and 3 Collectible Action Figures       ",7,4.7 out of 5 stars,"1,983 ratings", ,"#13,307 in Toys & Games ("
B084H462W1,"        iHome 2 Port USB Wall Charger: AC Pro Multiport USB Charger, USB Plug Adapter & Phone Charging Block, Double USB Wall Plug, Flat 2 Port USB Charger & USB Wall Adapter       ",    Temporarily out of stock.   ,4.7 out of 5 stars,"4,552 ratings",,"
        "
B08H4PF8GH,"        Mike & Ike, Mega Mix, 28.8 Ounce       ",       ,4.7 out of 5 stars,575 ratings,,
B0921CDMRL,"        Belkin USB-C Wall Charger 20W - PD Fast Charging USB-C Adapter - Ultra Compact Type C Port Mini Charging Block for iPhone 13 series, 12 series, 11 series, Samsung Galaxy, Pixel, and more       ",       ,4.7 out of 5 stars,868 ratings, ,"
        "
B084N5HBP8,"        Bakugan Starter Pack 3-Pack, Fused Pharol x Gillator Ultra, Armored Alliance Collectible Action Figures       ",7,4.7 out of 5 stars,"4,347 ratings", ,"#2,483 in Toys & Games ("
B07FXNG1R7,        Dragon Alliance NFX2 Ski Goggles       ,       ,4.4 out of 5 stars,92 ratings, Polycarbonate frame  ,
B09PGXRSNZ,        PD Power Strip Cube + 68W Dual Port USB C Charger       ,    Currently unavailable.   ,,, ,"#781,818 in Electronics ("
B082WK6DFT,"        Universal Travel Plug Adapter by Ceptics - Powerful 33W with PD & QC 3.0 USB-C Fast Charging - 2 USB Ports Wall Charger Type I C G A Outlets 110V 220V A/C - EU Euro US UK, Model: UP-10KU-W       ",13,4.5 out of 5 stars,104 ratings, ,"
        "
B000FDO2K6,        Bones Speed Cream Skate Bearing Lubricant       ,,4.8 out of 5 stars,"3,825 ratings",,"
        "
B0B9L75PC9,        GAN328 Mini Magic Cube Keychain 3x3 Puzzle Speed Cubes Key Chain Stress Relief Educational Toys As Shown       ,17,,, ,
B07B2SW5S3,        SPEED STACKS Pro Cubing G4 Graphite Mat Only       ,75,,,,
B002MQ1IY2,        Speed Stacks StackMatA G4 Pro Timer Timer       ,       ,3.9 out of 5 stars,3 ratings, ,"
        "
B08SQJQPY7,        Z3X LG + SAMS Pro Dongle       ,148,5.0 out of 5 stars,1 rating, Stable solution for LG and Sams phones servicing  ,"
        "
B09MV3ZZ57,"        SAMSUNG 45W Power Adapter (w/Cable C-to-C), Black       ",       ,4.7 out of 5 stars,"15,814 ratings",,"
        "
B076T5L1CK,        Dragon NFX2 Snow Goggle Replacement Lens (NFX2 / Rose Luma 35% VLT)       ,       ,,, ,"#1,582,700 in Sports & Outdoors ("
